Run ID,Name,Source Type,Source Name,User,Status,epoch,max_opinion_length,max_top_words,model,nob,unit,calc_time,loss,train_accuracy_curr,train_accuracy_max,train_f1_curr,train_f1_max,train_precision_curr,train_precision_max,train_recall_curr,train_recall_max,val_accuracy_curr,val_accuracy_max,val_f1_curr,val_f1_max,val_precision_curr,val_precision_max,val_recall_curr,val_recall_max
2532a2487661406ea1afad8bc0315fc4,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=64, epochs=10, nobs=2)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,
5f476644fa5e4b6db14c4fda0da2b28e,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=32, epochs=10, nobs=2)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,FINISHED,10,10,300,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=32, epochs=10, nobs=2)",2,32,143.10168051719666,0.8997166156768799,0.6153994798660278,0.6153994798660278,0.5772974491119385,0.5777565240859985,0.6153994798660278,0.7117546200752258,0.4905247986316681,0.4905247986316681,0.5808695554733276,0.5843478441238403,0.5251197218894958,0.5317258834838867,0.6939285397529602,0.731313169002533,0.4228050708770752,0.4295634925365448
28c7277431ab457fbfebaa3ef61d1dcd,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=400, units=64, epochs=10, nobs=2)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,FINISHED,10,10,300,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=400, units=64, epochs=10, nobs=2)",2,64,169.54579138755798,0.9043619632720947,0.6105629801750183,0.6105629801750183,0.5670976042747498,0.5670976042747498,0.6105629801750183,0.7004365921020508,0.4778531789779663,0.4778531789779663,0.5704348087310791,0.5773913264274597,0.5328416228294373,0.5374967455863953,0.6857306361198425,0.7212112545967102,0.4359912574291229,0.4386780560016632
ec71038eedd245a49259949853f0c9c0,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=400, units=32, epochs=10, nobs=2)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,FINISHED,10,10,300,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=400, units=32, epochs=10, nobs=2)",2,32,130.96716237068176,0.9131224155426025,0.6094021797180176,0.6099826097488403,0.5626972913742065,0.5626972913742065,0.6094021797180176,0.7037237882614136,0.4733889102935791,0.4733889102935791,0.5791304111480713,0.5791304111480713,0.5062182545661926,0.5162891149520874,0.6722859740257263,0.7110281586647034,0.4069320261478424,0.416294664144516
82f30e86e3874bb5b0ee0a1f4d2a93fd,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=64, epochs=10, nobs=1)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,FINISHED,10,10,300,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=64, epochs=10, nobs=1)",1,64,103.68663167953491,0.8903226256370544,0.6217837333679199,0.6217837333679199,0.5701830983161926,0.5706318020820618,0.6217837333679199,0.7075974345207214,0.48147091269493103,0.4819454550743103,0.5704348087310791,0.5895652174949646,0.5109609961509705,0.5536444783210754,0.6770691871643066,0.720651388168335,0.41092097759246826,0.4610615074634552
737165bbc85c47edade1b7479ae6fac8,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=32, epochs=10, nobs=1)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,FINISHED,10,10,300,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=32, epochs=10, nobs=1)",1,32,90.975594997406,0.8766812682151794,0.6306829452514648,0.6306829452514648,0.5833929777145386,0.5833929777145386,0.6306829452514648,0.7186055183410645,0.491515576839447,0.491515576839447,0.5773913264274597,0.5930435061454773,0.5503677129745483,0.5503677129745483,0.6977186799049377,0.7229200005531311,0.45446839928627014,0.45446839928627014
fbfe9b49d3be41859734fac75301a152,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=400, units=64, epochs=10, nobs=1)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,FINISHED,10,10,300,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=400, units=64, epochs=10, nobs=1)",1,64,101.96913242340088,0.8965376615524292,0.6111433506011963,0.613464891910553,0.5642298460006714,0.564738392829895,0.6111433506011963,0.7027459144592285,0.47380271553993225,0.47380271553993225,0.582608699798584,0.582608699798584,0.5075778365135193,0.535612165927887,0.6902362704277039,0.7383536696434021,0.40180638432502747,0.42809605598449707
74bde201c63844ac99ff8881cf981db8,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=400, units=32, epochs=10, nobs=1)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,FINISHED,10,10,300,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=400, units=32, epochs=10, nobs=1)",1,32,86.9309709072113,0.9011279940605164,0.6086283326148987,0.6144322156906128,0.5589954853057861,0.5678914189338684,0.6086283326148987,0.7048987150192261,0.46878036856651306,0.4760158658027649,0.5791304111480713,0.5878260731697083,0.5114259719848633,0.5347025394439697,0.70133376121521,0.7353157997131348,0.40319111943244934,0.43876075744628906
14f9b93559c943298e599b9921d44a49,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=64, epochs=10, nobs=0)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,FINISHED,10,10,300,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=64, epochs=10, nobs=0)",0,64,62.199782609939575,0.8449670672416687,0.6407428979873657,0.6417102217674255,0.6045079231262207,0.6045079231262207,0.6407428979873657,0.7243058085441589,0.5244396924972534,0.5244396924972534,0.5652173757553101,0.5686956644058228,0.5205770134925842,0.5311260223388672,0.6621838212013245,0.7791957259178162,0.42923280596733093,0.43200230598449707
baf7b837886b41599fa9116d87a4f354,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=32, epochs=10, nobs=0)",LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,jovyan,FINISHED,10,10,300,"Embedding (max_top_words=300, max_opinion_length=10, embedding_vector_lengths=500, units=32, epochs=10, nobs=0)",0,32,62.827728033065796,0.8513152003288269,0.6413232684135437,0.6413232684135437,0.6045669913291931,0.6045669913291931,0.6413232684135437,0.7154404520988464,0.5244206786155701,0.5244206786155701,0.5773913264274597,0.5773913264274597,0.5190960168838501,0.522473156452179,0.6661343574523926,0.7307692170143127,0.42532655596733093,0.42532655596733093
